,Title,Item,Platform,Division,Sales Units,Sales Amount,Month,Coop_expense,Paid_PP,Material_COGS,Royalty,Marginal Profit,Game Type,Contract
0,03-2025 : Ys 10 : Ys 10 PS5,YSN1-PS5-EU-VGN-DX-DE,PS5,EU Games,,,,,,,,0.0,Physical,Ys 10
1,03-2025 : Ys 10 : Ys 10 PS5,YSN1-PS5-EU-VGN-DX,PS5,EU Games,,,,,,,,0.0,Physical,Ys 10
2,03-2024 : Ys IX Monstrum Nox : Ys IX Monstrum Nox PS5,YSM1-PS5-EU-VGN-DX-DE,PS5,EU Games,,,,,,,,0.0,Physical,Ys 9 PS5
3,03-2024 : Ys IX Monstrum Nox : Ys IX Monstrum Nox PS5,YSM1-PS5-EU-VGN-DX,PS5,EU Games,,,,,,,,0.0,Physical,Ys 9 PS5
4,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-CART,NSW,EU Games,,,,,,,,0.0,Components,
5,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-US-VG-DX-ASM,NSW,NA Games,,,,,,,,0.0,Components,
6,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-VG-DX-BLX,NSW,EU Games,,,,,,,,0.0,Physical,
7,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-VG-DX-UK,NSW,EU Games,,,,,,,,0.0,Physical,
8,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-VG-DX-FR,NSW,EU Games,,,,,,,,0.0,Physical,
9,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-VG-DX-AU,NSW,EU Games,,,,,,,,0.0,Physical,
10,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-VG-DX-IT,NSW,EU Games,,,,,,,,0.0,Physical,
11,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-VG-DX-SP,NSW,EU Games,,,,,,,,0.0,Physical,
12,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-VG-DX-DE,NSW,EU Games,,,,,,,,0.0,Physical,
13,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-EU-VG-DX,NSW,EU Games,,,,,,,,0.0,Physical,
14,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon NSW,TBH1-NSW-US-VG-DX,NSW,NA Games,,,,,,,,0.0,Physical,
15,03-2026 : Trails beyond the Horizon,TBH1-GDS-EU-VG-PE-BOX,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components,
16,03-2026 : Trails beyond the Horizon,TBH1-GDS-WS-OSL1,GDS,NA Games : NA Games-STORE,,,,,,,,0.0,Components,
17,03-2026 : Trails beyond the Horizon,TBH1-GDS-EU-OSL1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components,
18,03-2026 : Trails beyond the Horizon,TBH1-GDS-EU-ABK1,GDS,EU Games : EU Games-STORE,,,,,,,,0.0,Components,
19,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS5,TBH1-PS5-EU-VG-DX-BLX,PS4,EU Games,,,,,,,,0.0,Physical,
20,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS5,TBH1-PS5-EU-VG-DX-UK,PS4,EU Games,,,,,,,,0.0,Physical,
21,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS5,TBH1-PS5-EU-VG-DX-FR,PS4,EU Games,,,,,,,,0.0,Physical,
22,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS5,TBH1-PS5-EU-VG-DX-AU,PS4,EU Games,,,,,,,,0.0,Physical,
23,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS5,TBH1-PS5-EU-VG-DX-IT,PS4,EU Games,,,,,,,,0.0,Physical,
24,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS5,TBH1-PS5-EU-VG-DX-SP,PS4,EU Games,,,,,,,,0.0,Physical,
25,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS5,TBH1-PS5-EU-VG-DX-DE,PS4,EU Games,,,,,,,,0.0,Physical,
26,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS5,TBH1-PS5-EU-VG-DX,PS4,EU Games,,,,,,,,0.0,Physical,
27,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS4,TBH1-PS4-EU-VG-DX-BLX,PS4,EU Games,,,,,,,,0.0,Physical,
28,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS4,TBH1-PS4-EU-VG-DX-UK,PS4,EU Games,,,,,,,,0.0,Physical,
29,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS4,TBH1-PS4-EU-VG-DX-FR,PS4,EU Games,,,,,,,,0.0,Physical,
30,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS4,TBH1-PS4-EU-VG-DX-AU,PS4,EU Games,,,,,,,,0.0,Physical,
31,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS4,TBH1-PS4-EU-VG-DX-IT,PS4,EU Games,,,,,,,,0.0,Physical,
32,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS4,TBH1-PS4-EU-VG-DX-SP,PS4,EU Games,,,,,,,,0.0,Physical,
33,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS4,TBH1-PS4-EU-VG-DX-DE,PS4,EU Games,,,,,,,,0.0,Physical,
34,03-2026 : Trails beyond the Horizon : Trails beyond the Horizon PS4,TBH1-PS4-EU-VG-DX,PS4,EU Games,,,,,,,,0.0,Physical,
